2030000	Aerial Blitz	Big Wind damage to all enemies. Inflict ATK Down.	\N	\N	\N
2030001	Ground Shatter	Big Fire damage to all foes. Inflict DEF Down.	\N	\N	\N
2030002	Catastrophe	Big Dark damage to all foes.	\N	\N	\N
2030003	Griffin's Call	Big Wind damage to all foes. Inflict Blinded.	\N	\N	\N
2030005	Golem's Call	Big Earth damage to all foes.	\N	\N	\N
2030006	Hydra's Call	Big fire damage to all foes.	\N	\N	\N
2030007	Wyvern's Call	Big Wind damage to all foes.	\N	\N	\N
2030008	Myconid's Call	Big Earth damage to all foes.	\N	\N	\N
2030009	Hellhound's Call	Big fire damage to all foes.	\N	\N	\N
2030010	Doomworm's Call	Big earth damage to all enemies.	\N	\N	\N
2030011	Cascade	Big Water damage to all foes. All allies gain ATK Up for 3 turns.	\N	\N	\N
2030012	Basilisk's Call	Big Dark damage to all foes. Inflict Poison.	Big Dark damage to all foes. Inflict Poison.	\N	\N
2030013	Machina Soldier MK II's Call	Big Fire damage to all foes.	\N	\N	\N
2030015	Axis Mundi	Big earth DMG to all foes / Small boost to all allies' DEF.	\N	\N	\N
2030016	Breeze Blast	All allies gain Wind ATK Boosted and 25% Wind Res.	All allies gain Wind ATK Boosted and 50% Wind Res.	\N	\N
2030018	Hitodama's Call	Big Fire damage to all foes.	\N	\N	\N
2030019	Wilinus Icewyrm's Call	Big Water damage to all foes.	\N	\N	\N
2030020	Elmenhilde Windsprite's Call	Big wind damage to all enemies.	\N	\N	\N
2030021	Aqua Blight	All allies gain Water ATK Boosted and 25% Water Res.	All allies gain Water ATK Boosted and 50% Water Res.	\N	\N
2030022	Vrazarek Firewyrm's Call	Big Fire damage to all foes.	\N	\N	\N
2030023	Stone Golem's Call	Big Earth damage to all foes.	\N	\N	\N
2030024	Zirconia Blight	All allies gain Earth ATK Boosted and 25% Earth Res.	All allies gain Earth ATK Boosted and 50% Earth Res.	\N	\N
2030025	Ruination Gargoyle's Call	Big Earth damage to all foes.	\N	\N	\N
2030026	Good-Luck Hop	Big Light damage to all foes. Inflict Bounty 1.	\N	\N	\N
2030028	Pixie's Call	Big light damage to all foes.	\N	\N	\N
2030029	Anneliefe's Call	Big Fire damage to all foes.	\N	\N	\N
2030031	Garnet Blast	All allies gain Fire ATK Boosted and 25% Fire Res.	All allies gain Fire ATK Boosted and 50% Fire Res.	\N	\N
2030032	Oath of Restraint	Big light DMG to all foes. All allies gain 20% Dark Cut.	\N	\N	\N
2030033	Elusious Windwyrm's Call	Big Wind damage to all foes.	\N	\N	\N
2030034	Angelie Cascade's Call	Big Water damage to all enemies.	\N	\N	\N
2030039	Onyx Blight	All allies gain Dark ATK Boosted and 25% Dark Res.	All allies gain Dark ATK Boosted and 50% Dark Res.	\N	\N
2030040	Nopal's Call	Big water damage to all enemies.	\N	\N	\N
2030041	Null Void	Big dark DMG to all foes. All allies gain 20% Light Cut.	\N	\N	\N
2030042	Holy Blight	All allies gain Light ATK Boosted and 25% Light Res.	All allies gain Light ATK Boosted and 50% Light Res.	\N	\N
2030051	Belle Sylphid's Call	Big wind DMG to all foes.	\N	\N	\N
2030062	Aerial Blitz	\N	Big Wind damage to all foes. Inflict ATK Down.	\N	\N
2030063	Ground Shatter	\N	Big Fire damage to all foes. Inflict DEF Down.	\N	\N
2030064	Cascade	\N	Big Water damage to all foes. All allies gain ATK Up.	\N	\N
2030065	Axis Mundi	\N	Big Earth damage to all foes. All allies gain DEF Up.	\N	\N
2030066	Oath of Restraint	\N	Big Light damage to all foes. All allies gain 20% Dark Cut.	\N	\N
2030067	Null Void	\N	Big Dark damage to all foes. All allies gain 20% Light Cut.	\N	\N
2030068	Diantha's Song	All allies gain Mode Bar Curbed.	\N	\N	\N
2030069	Linaria's Song	All allies gain Mode Bar Curbed.	\N	\N	\N
2030070	Harie's Song	All allies gain Mode Bar Curbed.	\N	\N	\N
2030071	Canna's Song	All allies gain Mode Bar Curbed.	\N	\N	\N
2030072	Diola's Song	All allies gain Mode Bar Curbed.	\N	\N	\N
2030073	Ruby Glow	All allies gain Fire ATK Up and 20% Fire Cut.	All allies gain Fire ATK Up and 30% Fire Cut.	\N	\N
2030074	Sapphire Glow	All allies gain Water ATK Up and 20% Water Cut.	All allies gain Water ATK Up and 30% Water Cut.	\N	\N
2030075	Amber Glow	All allies gain Earth ATK Up and 20% Earth Cut.	All allies gain Earth ATK Up and 30% Earth Cut.	\N	\N
2030076	Jade Glow	All allies gain Wind ATK Up and 20% Wind Cut.	All allies gain Wind ATK Up and 30% Wind Cut.	\N	\N
2030077	Moonlight Glow	All allies gain Light ATK Up and 20% Light Cut.	All allies gain Light ATK Up and 30% Light Cut.	\N	\N
2030078	Obsidian Glow	All allies gain Dark ATK Up and 20% Dark Cut.	All allies gain Dark ATK Up and 30% Dark Cut.	\N	\N
2030079	Black Rabbit	Big Dark damage to all enemies and inflict Bounty.	\N	\N	\N
2030080	Groundbreaker	Massive Earth damage to all foes. All allies gain Revitalize	\N	\N	\N
2030081	Jurist Scales	300% Water damage to all foes. Balance all allies' HP. Restore Water allies' HP (Healing cap: 1000).	\N	\N	\N
2030085	Golden Dawn	300% Earth damage to all foes. Remove 1 debuff from all allies. Earth allies gain a random buff effect.	\N	\N	\N
2030089	Deathly Thirteen	300% Dark damage to all foes. Knock out a dark ally in fourth position (MC or Lyria won't be knocked out). Dark allies gain massive TA Up for 2 turns.	300% Dark damage to all foes. Knock out a dark ally in fourth position (MC or Lyria won't be knocked out). Dark allies gain massive TA Up for 2 turns.	\N	\N
2030093	Yin Yang	300% Wind damage to all foes. Inflict Restrained (Enemy) on Earth foes. Inflict Restrained (Ally) on all allies.	\N	\N	\N
2030097	Power Plant	300% Fire damage to all foes and inflict Red Heat 3. Inflict ATK Down and DEF Down on all Wind foes.	\N	\N	\N
2030101	Callous Fist	Summoner gains Towering	\N	\N	\N
2030105	Stardeath	300% Light damage to all foes. Light allies gain Divinity (Summon).	\N	\N	\N
2030109	Koph	300% Water damage to all foes. Water allies gain Crescent Moon (Summon), gradually boosting ATK and DEF over 5 turns	\N	\N	\N
