10400000	Massive Fire damage to a foe. Restore MC's HP (Healing cap: 1500).	Healing cap increased to 2000.	\N
10400001	Massive Water damage to a foe. Gain Charge Bar +20% .	Effect increased to Charge Bar +30% .	\N
10400003	Massive Earth damage to a foe. Bonus damage to foe in Break.	\N	\N
10400005	Massive Light damage to a foe. Gain ATK Up .	All allies gain Light ATK Up .	\N
10400006	Massive Fire damage to a foe. / Boost to skill DMG.	\N	\N
10400010	Massive Light damage to a foe. 5% Bonus Plain damage.	\N	\N
10400013	Massive Wind damage to a foe. Gain DA Up .	\N	\N
10400014	Massive Earth damage to a foe. Gain Charge Bar +20% .	Gain 15% ATK Up . 	\N
10400016	Massive Water damage to a foe / Boost to ATK when foe is in overdrive	1 turn 15% DMG Cut	\N
10400017	Massive Water damage to a foe. Inflict 10% DEF Down .	\N	\N
10400018	Massive Light damage to a foe. Gain Charge Bar +20% .	\N	\N
10400019	Massive Light damage to a foe Gain DA Up .	Gain 20% DA Up and Charge Bar +20% .	\N
10400020	Massive Light damage to a foe. Gain 30% Bonus Superior Elemental DMG .	Effect increased to 50% Bonus Superior Elemental DMG .	\N
10400021	Massive Dark damage to a foe. Boost to skill DMG.	\N	\N
10400022	Big Earth damage to a foe. Bonus Fire damage.	Earth damage upgraded to massive.	\N
10400023	Massive Fire damage to a foe. Inflict 10% DEF Down .	\N	\N
10400024	Massive Light damage to a foe. All allies gain 30% DMG Cut for 0.5 turns.	\N	\N
10400025	Massive Fire damage to a foe. All allies gain 30% DMG Cut for 0.5 turns.	\N	\N
10400026	Massive Water damage to a foe. All allies gain 30% DMG Cut for 0.5 turns.	\N	\N
10400027	Massive Wind damage to a foe. All allies gain 30% DMG Cut for 0.5 turns.	\N	\N
10400028	Massive Earth damage to a foe. All allies gain 30% DMG Cut for 0.5 turns.	\N	\N
10400029	Massive Light damage to a foe. All allies gain 30% DMG Cut for 0.5 turns.	\N	\N
10400030	Massive Dark damage to a foe. All allies gain 30% DMG Cut for 0.5 turns.	\N	\N
10400031	Massive Dark damage to a foe. Gain DEF Up .	Boost to charge bar.	\N
10400032	Massive Wind damage to a foe. Gain Wind ATK Up .	\N	\N
10400033	Massive fire DMG to a foe / Random speed boost to charge bar	\N	\N
10400034	Massive Light damage to a foe. / Restore HP.	\N	\N
10400035	Massive Water damage to a foe. Gain Charge Bar +20% .	\N	\N
10400036	Massive Dark damage to a foe. Gain TA Up .	All allies gain Drain .	\N
10400037	Massive Fire damage to a foe. All allies gain 35% DMG Cut for 0.5 turns.	\N	\N
10400038	Massive Water damage to a foe. All allies gain 35% DMG Cut for 0.5 turns.	\N	\N
10400039	Massive Wind damage to a foe. All allies gain 35% DMG Cut for 0.5 turns.	\N	\N
10400040	Massive Earth damage to a foe. All allies gain 35% DMG Cut for 0.5 turns.	\N	\N
10400041	Massive Light damage to a foe. All allies gain 35% DMG Cut for 0.5 turns.	\N	\N
10400042	Massive Dark damage to a foe. All allies gain 35% DMG Cut for 0.5 turns.	\N	\N
10400043	Massive Dark damage to a foe. Gain ATK Up .	\N	\N
10400044	Massive Fire damage to a foe. Gain ATK Up .	Also gain Fire ATK Up .	\N
10400045	Massive Fire damage to a foe. Gain Skill DMG Up .	\N	\N
10400046	Massive Water damage to a foe. All allies gain 15% DMG Cut .	Increased to 35% DMG Cut .	\N
10400047	Massive earth DMG to a foe / Boost to double attack rate	\N	\N
10400048	Massive Earth damage to a foe. All allies gain Shield .	\N	\N
10400049	Massive Dark damage to a foe. Slight chance to remove Cut to Light DMG and Cut to Dark DMG . 	\N	\N
10400050	Massive Earth damage to a foe. Gain Skill DMG Up .	\N	\N
10400051	Massive Water damage to a foe. Gain Charge Bar +20% .	\N	\N
10400052	Massive Fire damage to a foe. Gain Charge Bar +20% and DEF Up .	\N	\N
10400053	Massive Water damage to a foe. Gain Charge Bar +20% and DEF Up .	\N	\N
10400054	Massive Earth damage to a foe. Gain Charge Bar +20% and DEF Up .	\N	\N
10400055	Massive Wind damage to a foe. Gain Charge Bar +20% and DEF Up .	\N	\N
10400056	Massive Light damage to a foe. Gain Charge Bar +20% and DEF Up .	\N	\N
10400057	Massive Dark damage to a foe. Gain Charge Bar +20% and DEF Up .	\N	\N
10400058	Massive Dark damage to a foe. Inflict Delay .	Gain Jammed .	\N
10400059	Massive Dark damage to a foe. Boost to ATK.	\N	\N
10400060	Massive water DMG to a foe / Boost to ATK	\N	\N
10400061	Massive Light damage to a foe. Gain Shield (2000) .	Also gain 30% DEF Up .	\N
10400062	Massive Fire damage to a foe. Gain Charge Bar +20% .	\N	\N
10400063	Massive Fire damage to a foe. Gain Charge Bar +20% .	\N	\N
10400064	Massive Fire damage to a foe. Gain Charge Bar +20% . If Energized : Recover 5 energy.	\N	\N
10400065	Massive Water damage to a foe. Gain Charge Bar +20% . If Energized : Recover 5 energy.	\N	\N
10400066	Massive Earth damage to a foe. Gain Charge Bar +20% . If Energized : Recover 5 energy.	\N	\N
10400067	Massive Wind damage to a foe. Gain Charge Bar +20% . If Energized : Recover 5 energy.	\N	\N
10400068	Massive Light damage to a foe. Gain Charge Bar +20% . If Energized : Recover 5 energy.	\N	\N
10400069	Massive Dark damage to a foe. Gain Charge Bar +20% . If Energized : Recover 5 energy.	\N	\N
10400070	Massive Fire damage to a foe. Gain Charge Bar +15% .	\N	\N
10400071	Massive Fire damage to a foe. Gain Charge Bar +15% .	\N	\N
10400072	Massive Light damage to a foe. Slight chance to remove a buff effect.	\N	\N
10400073	Massive Wind damage to a foe. Gain ATK Up .	\N	\N
10400074	Massive Dark damage to a foe. Gain ATK Up .	\N	\N
10400075	Massive Fire damage to a foe. Gain 30% Bonus Superior Elemental DMG .	Effect increased to 50% Bonus Superior Elemental DMG .	\N
